,city_name,lat,lon,distance_to_center_km,area_m2,rooms,is_studio,floor,floors_total,floor_ratio,area_per_room,is_top_floor,is_first_floor,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
70,Альметьевск,54.89203,52.28391,1.3579185370644744,73.9,2.0,0,5,16,0.3125,36.95,0,0,10486410,10570103.348503558,83693.34850355797,83693.34850355797,0.7981124951585715,0.7981124951585715
827,Альметьевск,54.902491,52.276012,1.5585007018726817,30.3,1.0,0,3,5,0.6,30.3,0,0,3900000,3839930.7308214977,-60069.26917850226,60069.26917850226,1.5402376712436476,-1.5402376712436476
231,Альметьевск,54.89041,52.28283,1.530553978685245,82.0,2.0,0,8,16,0.5,41.0,0,0,11553800,11456951.234927973,-96848.76507202722,96848.76507202722,0.8382416613757138,-0.8382416613757138
588,Альметьевск,54.909064,52.278096,1.725322037162431,31.1,1.0,0,2,5,0.4,31.1,0,0,3800000,3683709.110719018,-116290.88928098185,116290.88928098185,3.060286560025838,-3.060286560025838
39,Альметьевск,54.901802,52.308872,0.6015922661656802,112.0,3.0,0,1,5,0.2,37.333333333333336,0,1,14300000,13546031.133885413,-753968.8661145866,753968.8661145866,5.272509553248858,-5.272509553248858
731,Альметьевск,54.898401,52.314621,0.9516090704124457,24.9,1.0,0,1,5,0.2,24.9,0,1,2900000,2074658.4729949124,-825341.5270050876,825341.5270050876,28.460052655347845,-28.460052655347845
299,Альметьевск,54.91004944,52.29652786,1.1392801061722213,71.7,3.0,0,2,5,0.4,23.900000000000002,0,0,10650000,7795466.933524784,-2854533.0664752163,2854533.0664752163,26.803127384743814,-26.803127384743814
110,Альметьевск,54.908454,52.327566,1.9973615056041893,90.0,4.0,0,6,9,0.6666666666666666,22.5,0,0,9300000,8314817.916966371,-985182.0830336288,985182.0830336288,10.593355731544394,-10.593355731544394
72,Альметьевск,54.900125,52.257066,2.7451306720662187,74.0,2.0,0,1,10,0.1,37.0,0,1,7900000,8308726.691534065,408726.6915340647,408726.6915340647,5.173755589038794,5.173755589038794
86,Альметьевск,54.90182114,52.29724884,0.2682298412402498,77.0,3.0,0,3,4,0.75,25.666666666666668,0,0,15000000,9443634.702521043,-5556365.297478957,5556365.297478957,37.04243531652638,-37.04243531652638
139,Альметьевск,54.897614,52.262447,2.4157355621024292,53.2,2.0,0,4,9,0.4444444444444444,26.6,0,0,6550000,6512198.982355347,-37801.0176446531,37801.0176446531,0.5771147732008106,-0.5771147732008106
533,Альметьевск,54.90559006,52.32294846,1.5934098054743235,54.2,2.0,0,1,5,0.2,27.1,0,1,5550000,5552191.796996183,2191.796996182762,2191.796996182762,0.03949183776905878,0.03949183776905878
801,Альметьевск,54.90703,52.326398,1.8599237673837923,50.2,2.0,0,2,9,0.2222222222222222,25.1,0,0,6200000,5544977.784250574,-655022.2157494258,655022.2157494258,10.564874447571384,-10.564874447571384
120,Альметьевск,54.90581512,52.32849884,1.933353446260639,125.0,4.0,0,3,7,0.42857142857142855,31.25,0,0,10800000,12286299.753027787,1486299.7530277874,1486299.7530277874,13.76203475025729,13.76203475025729
711,Альметьевск,54.907983,52.260767,2.660660232727232,75.2,2.0,0,7,16,0.4375,37.6,0,0,8750000,8762823.483016934,12823.483016934246,12823.483016934246,0.14655409162210567,0.14655409162210567
590,Альметьевск,54.893627,52.264864,2.355801614933099,68.0,2.0,0,5,5,1.0,34.0,1,0,8500000,8132072.316632128,-367927.6833678717,367927.6833678717,4.328560980798491,-4.328560980798491
168,Альметьевск,54.89041,52.28283,1.530553978685245,76.1,2.0,0,5,9,0.5555555555555556,38.05,0,0,10722490,10651770.08630148,-70719.91369852051,70719.91369852051,0.6595474903545773,-0.6595474903545773
422,Альметьевск,54.910255,52.262034,2.68166776716357,67.4,3.0,0,9,9,1.0,22.46666666666667,1,0,7960000,7229316.550969136,-730683.449030864,730683.449030864,9.179440314458091,-9.179440314458091
447,Альметьевск,54.89641953,52.28556061,1.0054452748376876,43.0,2.0,0,3,5,0.6,21.5,0,0,4250000,4594647.247855582,344647.2478555823,344647.2478555823,8.109347008366642,8.109347008366642
67,Альметьевск,54.89203,52.28391,1.3579185370644744,74.3,2.0,0,3,8,0.375,37.15,0,0,10543170,10533400.04524422,-9769.954755779356,9769.954755779356,0.0926661976974606,-0.0926661976974606
211,Альметьевск,54.89041,52.28283,1.530553978685245,74.3,2.0,0,2,9,0.2222222222222222,37.15,0,0,10497050,10483974.012479933,-13075.987520067021,13075.987520067021,0.12456821221264089,-0.12456821221264089
741,Альметьевск,54.90971,52.28456,1.462901925358752,104.4,4.0,0,4,9,0.4444444444444444,26.1,0,0,11586180,11838973.244257513,252793.24425751343,252793.24425751343,2.181851518425516,2.181851518425516
688,Альметьевск,54.887377,52.268367,2.4621295911094094,78.3,3.0,0,2,9,0.2222222222222222,26.099999999999998,0,0,8800000,10377670.866982713,1577670.8669827133,1577670.8669827133,17.928078033894472,17.928078033894472
333,Альметьевск,54.89203,52.28391,1.3579185370644744,74.0,2.0,0,8,8,1.0,37.0,1,0,10545000,10396495.525300974,-148504.47469902597,148504.47469902597,1.4082927899386057,-1.4082927899386057
542,Альметьевск,54.89002,52.23803,4.115160423323737,69.4,2.0,0,5,16,0.3125,34.7,0,0,9910000,9899183.165693458,-10816.83430654183,10816.83430654183,0.1091506993596552,-0.1091506993596552
344,Альметьевск,54.88737869,52.26836777,2.4619819753933956,68.2,3.0,0,5,10,0.5,22.733333333333334,0,0,9800000,8382308.751348015,-1417691.248651985,1417691.248651985,14.466237231142706,-14.466237231142706
30,Альметьевск,54.90185928,52.30002213,0.20674734484028906,77.4,3.0,0,3,4,0.75,25.8,0,0,9500000,9688929.168572152,188929.16857215203,188929.16857215203,1.9887280902331792,1.9887280902331792
837,Альметьевск,54.896640623139206,52.2948946987033,0.49608059395365717,44.0,2.0,0,3,5,0.6,22.0,0,0,4870000,4437681.697788512,-432318.30221148767,432318.30221148767,8.877172530010014,-8.877172530010014
658,Альметьевск,54.90449578227304,52.31752583846519,1.2269577984126399,42.8,1.0,0,4,5,0.8,42.8,0,0,4100000,5388318.316999568,1288318.3169995677,1288318.3169995677,31.42239797559921,31.42239797559921
522,Альметьевск,54.908407,52.301272,0.9383461310918267,21.1,1.0,0,1,4,0.25,21.1,0,1,1870000,2065604.9056885908,195604.90568859084,195604.90568859084,10.460155384416622,10.460155384416622
260,Альметьевск,54.89041,52.28283,1.530553978685245,72.1,2.0,0,1,9,0.1111111111111111,36.05,0,1,10057950,10063405.597859344,5455.597859343514,5455.597859343514,0.05424164824187348,0.05424164824187348
756,Альметьевск,54.90904917090606,52.28525860415749,1.3786393713192064,60.0,3.0,0,9,9,1.0,20.0,1,0,6250000,6422543.025686529,172543.02568652947,172543.02568652947,2.7606884109844714,2.7606884109844714
298,Альметьевск,54.90077591,52.36069489,3.881611113479574,42.3,2.0,0,3,5,0.6,21.15,0,0,4500000,3733696.0071419138,-766303.9928580862,766303.9928580862,17.028977619068584,-17.028977619068584
531,Альметьевск,54.89661026,52.31361389,0.9485780482337477,33.0,1.0,0,1,5,0.2,33.0,0,1,2500000,3253614.4886480714,753614.4886480714,753614.4886480714,30.144579545922856,30.144579545922856
615,Альметьевск,54.90198517,52.25665283,2.7802254562422957,67.8,2.0,0,3,16,0.1875,33.9,0,0,8150000,8472044.128602322,322044.1286023222,322044.1286023222,3.9514617006419903,3.9514617006419903
