,city_name,lat,lon,distance_to_center_km,house_area_m2,land_area_m2,land_to_house_ratio,house_area_share,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
272,Альметьевск,54.894326,52.342918,2.8158618956164023,44.0,660.0,15.0,0.0625,6700000,5234890.533429228,-1465109.4665707722,1465109.4665707722,21.867305471205555,-21.867305471205555
55,Альметьевск,54.8938179,52.21020126,5.782964112905894,200.0,1000.0,5.0,0.16666666666666666,14100000,19678334.148943275,5578334.148943275,5578334.148943275,39.562653538604785,39.562653538604785
238,Альметьевск,54.911466,52.335148,2.5834782433928116,128.0,980.0000000000001,7.656250000000001,0.11552346570397112,20990000,14438629.717126094,-6551370.282873906,6551370.282873906,31.211864139465966,-31.211864139465966
33,Альметьевск,54.90094089651039,52.35616489475484,3.592534031469722,400.0,700.0,1.75,0.36363636363636365,25990000,23306068.865290757,-2683931.1347092427,2683931.1347092427,10.326783896534215,-10.326783896534215
286,Альметьевск,54.885228,52.45863,10.276412793155254,42.0,860.0,20.476190476190474,0.04656319290465632,3100000,3409593.2493264526,309593.2493264526,309593.2493264526,9.986879010530728,9.986879010530728
371,Альметьевск,54.905187,52.548415,15.892513587596605,56.2,3180.0,56.58362989323843,0.01736604659786169,750000,1934540.2083187508,1184540.2083187508,1184540.2083187508,157.9386944425001,157.9386944425001
258,Альметьевск,54.939806,52.270532,4.8101819248333895,279.9,1000.0,3.572704537334763,0.21868896007500582,17300000,20518147.971425958,3218147.971425958,3218147.971425958,18.602011395525768,18.602011395525768
108,Альметьевск,54.79487228,52.13616943,15.705384670962227,53.3,3300.0,61.91369606003752,0.015894790206662093,2050000,1811785.1455731073,-238214.8544268927,238214.8544268927,11.62023680131184,-11.62023680131184
253,Альметьевск,54.964246,52.344122,7.679841299939071,100.0,1019.9999999999999,10.2,0.08928571428571429,26000000,7903290.450812515,-18096709.549187485,18096709.549187485,69.60272903533648,-69.60272903533648
203,Альметьевск,54.79563188217177,52.01160221603253,21.80769737667168,120.0,5000.0,41.666666666666664,0.0234375,2000000,6690311.165688943,4690311.165688943,4690311.165688943,234.51555828444714,234.51555828444714
30,Альметьевск,54.86929125477719,52.267542684560574,3.9962239512160753,50.0,800.0,16.0,0.058823529411764705,1100000,4627567.3781262385,3527567.3781262385,3527567.3781262385,320.6879434660217,320.6879434660217
262,Альметьевск,54.91742706,52.33189774,2.812951658691883,342.0,1000.0,2.9239766081871346,0.2548435171385991,22500000,23054786.033543225,554786.0335432254,554786.0335432254,2.4657157046365574,2.4657157046365574
360,Альметьевск,54.91940787968314,52.37130024824788,5.042776222277419,210.0,1100.0,5.238095238095238,0.16030534351145037,12000000,16583009.431646384,4583009.431646384,4583009.431646384,38.191745263719866,38.191745263719866
82,Альметьевск,54.93233109,52.19194794,7.78554936086434,72.4,1700.0,23.48066298342541,0.040848566914917624,7000000,4946992.497654388,-2053007.5023456123,2053007.5023456123,29.32867860493732,-29.32867860493732
73,Альметьевск,54.89644241,52.23296356,4.3045583111610695,115.0,600.0,5.217391304347826,0.16083916083916083,17000000,19406592.739035804,2406592.739035804,2406592.739035804,14.1564278766812,14.1564278766812
56,Альметьевск,54.83352661,52.27714539,7.534796781575385,174.2,900.0,5.1664753157290475,0.16216719419102585,8000000,10913583.73342648,2913583.7334264796,2913583.7334264796,36.419796667830994,36.419796667830994
307,Альметьевск,54.88913727,52.2081337,5.997401664468923,154.0,1400.0,9.090909090909092,0.0990990990990991,11300000,16972894.800467923,5672894.800467923,5672894.800467923,50.202608853698436,50.202608853698436
289,Альметьевск,54.891064,51.985937,20.107232750363117,72.7,2000.0,27.51031636863824,0.03507502291696821,4500000,4173800.5949678477,-326199.4050321523,326199.4050321523,7.248875667381162,-7.248875667381162
311,Альметьевск,54.92648697,52.14875793,10.105588024247586,167.2,1000.0,5.980861244019139,0.14324880054832076,5500000,10661924.10145986,5161924.101459861,5161924.101459861,93.85316548108837,93.85316548108837
79,Альметьевск,54.91337585,52.33880234,2.892250831263616,54.0,950.0,17.59259259259259,0.053784860557768925,9500000,5494613.10435013,-4005386.89564987,4005386.89564987,42.16196732263021,-42.16196732263021
382,Альметьевск,54.86807251,52.45211029,10.356907789549082,130.0,600.0,4.615384615384615,0.1780821917808219,8500000,8300248.702605706,-199751.2973942943,199751.2973942943,2.3500152634622857,-2.3500152634622857
9,Альметьевск,54.896014,52.483019,11.710774086423177,176.0,1500.0,8.522727272727273,0.10501193317422435,6000000,9703989.668790895,3703989.6687908955,3703989.6687908955,61.733161146514924,61.733161146514924
410,Альметьевск,55.011701,52.4839,17.092131015493976,126.6,1280.0,10.110584518167457,0.09000426560500498,9000000,7224829.92632829,-1775170.0736717097,1775170.0736717097,19.724111929685666,-19.724111929685666
70,Альметьевск,54.93346024,52.36977005,5.807437075838979,41.5,700.0,16.867469879518072,0.055967633175994604,2600000,6810691.3425808605,4210691.3425808605,4210691.3425808605,161.9496670223408,161.9496670223408
220,Альметьевск,54.81364,52.085766,16.740388215550542,37.5,1200.0,32.0,0.030303030303030304,2100000,1382967.1179640647,-717032.8820359353,717032.8820359353,34.14442295409216,-34.14442295409216
113,Альметьевск,54.823211,52.348066,9.07576569053068,43.5,2130.0,48.96551724137931,0.020013802622498276,3999999,2521830.4394802065,-1478168.5605197935,1478168.5605197935,36.95422325155065,-36.95422325155065
361,Альметьевск,54.9671936,52.34436417,7.991067295607974,280.0,600.0,2.142857142857143,0.3181818181818182,28000000,9090508.835796721,-18909491.16420328,18909491.16420328,67.53389701501172,-67.53389701501172
357,Альметьевск,54.88848927670204,52.1996667376626,6.542413211693237,125.0,900.0,7.2,0.12195121951219512,10500000,15072346.332354588,4572346.332354588,4572346.332354588,43.546155546234175,43.546155546234175
391,Альметьевск,54.89749146,52.36229324,3.9927636181108466,250.0,1200.0,4.8,0.1724137931034483,20000000,19697307.596469924,-302692.40353007615,302692.40353007615,1.5134620176503808,-1.5134620176503808
