,city_name,lat,lon,distance_to_center_km,land_area_m2,land_type,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
117,Альметьевск,55.049957680601835,52.4307011917483,18.64442922111722,5000.0,ИЖС,1000000,1000689.8874742484,689.8874742484186,689.8874742484186,0.06898874742484186,0.06898874742484186
132,Альметьевск,54.96135826197056,52.43487874953428,10.991211248661049,100.0,"СНТ, ДНП",70000,591392.490184774,521392.49018477404,521392.49018477404,744.8464145496772,744.8464145496772
154,Альметьевск,54.8837738,52.24392319,4.014450486505245,1019.9999999999999,"СНТ, ДНП",2450000,2048573.216683395,-401426.783316605,401426.783316605,16.38476666598388,-16.38476666598388
245,Альметьевск,54.864461,52.450384,10.399521027578283,600.0,ИЖС,1800000,1923443.9496724857,123443.9496724857,123443.9496724857,6.857997204026983,6.857997204026983
84,Альметьевск,54.91678520077778,52.331215196479306,2.7322558475051637,1200.0,ИЖС,6000000,8684191.7509348,2684191.7509348,2684191.7509348,44.73652918224667,44.73652918224667
346,Альметьевск,54.90207383607527,52.36928069743354,4.435530323607266,600.0,ИЖС,3300000,2685321.997016621,-614678.0029833792,614678.0029833792,18.62660615101149,-18.62660615101149
6,Альметьевск,55.051716,52.337421,17.03823868696201,2600.0,ИЖС,1400000,1282684.7185372424,-117315.28146275762,117315.28146275762,8.379662961625543,-8.379662961625543
477,Альметьевск,54.93216324,52.18927765,7.928897077766693,1400.0,ИЖС,1000000,2560633.958745153,1560633.9587451532,1560633.9587451532,156.06339587451532,156.06339587451532
182,Альметьевск,54.9778771751992,52.211953130773864,10.325591278333444,1870.0,ИЖС,2900000,3804838.602576313,904838.6025763131,904838.6025763131,31.20133112332114,31.20133112332114
55,Альметьевск,54.89392662136549,52.36188084506455,4.014032217952148,800.0,"СНТ, ДНП",1600000,1201145.93847899,-398854.06152101,398854.06152101,24.928378845063126,-24.928378845063126
104,Альметьевск,54.86962554448095,52.44099181604551,9.629811311695013,600.0,ИЖС,2050000,1825866.3920327178,-224133.60796728218,224133.60796728218,10.933346730111326,-10.933346730111326
530,Альметьевск,54.98469925,52.33514023,9.681866150956251,1700.0,"СНТ, ДНП",150000,1390073.3199106276,1240073.3199106276,1240073.3199106276,826.715546607085,826.715546607085
320,Альметьевск,54.97754036751527,52.22305619480481,9.924537550035199,600.0,"СНТ, ДНП",700000,1033825.9818505764,333825.98185057635,333825.98185057635,47.689425978653766,47.689425978653766
249,Альметьевск,54.93759918,52.37474442,6.347973132585908,400.0,ИЖС,3800000,1421726.958126202,-2378273.041873798,2378273.041873798,62.58613268088942,-62.58613268088942
237,Альметьевск,55.04862058401349,52.36634412269974,17.05963207872305,1650.0,ИЖС,3490000,1474908.677043935,-2015091.322956065,2015091.322956065,57.73900638842593,-57.73900638842593
468,Альметьевск,54.8663247086734,52.45461022079844,10.574714076574365,600.0,ИЖС,2000000,1818178.9891441588,-181821.01085584122,181821.01085584122,9.091050542792061,-9.091050542792061
523,Альметьевск,54.926911,52.344517,4.1292059256816875,600.0,ИЖС,2000000,2164582.3612393993,164582.3612393993,164582.3612393993,8.229118061969965,8.229118061969965
357,Альметьевск,54.964241693933694,52.47336717329868,13.179595199055498,1180.0,"СНТ, ДНП",1300000,1283693.7940534253,-16306.205946574686,16306.205946574686,1.2543235343518988,-1.2543235343518988
211,Альметьевск,54.91936874536617,52.24925064513963,3.893851845354942,4500.0,промназначения,23500000,12837546.415468367,-10662453.584531633,10662453.584531633,45.372142912900564,-45.372142912900564
494,Альметьевск,54.96818924,52.47716141,13.622821637157013,550.0,"СНТ, ДНП",550000,809433.2750794325,259433.27507943253,259433.27507943253,47.16968637807864,47.16968637807864
10,Альметьевск,55.00964225455731,52.35101483804446,12.619302409515221,2500.0,ИЖС,550000,1965386.537097052,1415386.537097052,1415386.537097052,257.34300674491857,257.34300674491857
404,Альметьевск,54.88593103294203,52.34420451124289,3.2308343867654745,800.0,промназначения,5600000,4934581.231323214,-665418.7686767858,665418.7686767858,11.882478012085459,-11.882478012085459
148,Альметьевск,54.903375917951394,52.374083998393345,4.75141106756439,600.0,ИЖС,2800000,2888561.0698338454,88561.06983384537,88561.06983384537,3.162895351208763,3.162895351208763
450,Альметьевск,55.01742935,52.43086243,15.50169727631778,1000.0,ИЖС,700000,1317537.5313677883,617537.5313677883,617537.5313677883,88.21964733825548,88.21964733825548
2,Альметьевск,54.9772720574185,52.2185041819115,10.046179552887759,1500.0,"СНТ, ДНП",2300000,2519006.8901752634,219006.8901752634,219006.8901752634,9.522038703272322,9.522038703272322
416,Альметьевск,54.96459579,52.47660446,13.374933476192655,650.0,ИЖС,650000,1322456.8107495378,672456.8107495378,672456.8107495378,103.45489396146735,103.45489396146735
503,Альметьевск,54.88655243000441,52.344273050745045,3.2018046307221963,2810.0,ИЖС,20500000,5908682.527298481,-14591317.47270152,14591317.47270152,71.17715840342204,-71.17715840342204
185,Альметьевск,54.894637,52.1982,6.536546554117824,1000.0,ИЖС,2500000,3780478.6963979797,1280478.6963979797,1280478.6963979797,51.21914785591919,51.21914785591919
412,Альметьевск,55.060302,52.387672,18.682059176592414,1000.0,ИЖС,1000000,1154565.5398763693,154565.5398763693,154565.5398763693,15.456553987636928,15.456553987636928
195,Альметьевск,54.949206526047305,52.20171117256161,8.32960812327601,600.0,"СНТ, ДНП",1000000,872118.1075446565,-127881.8924553435,127881.8924553435,12.788189245534351,-12.788189245534351
514,Альметьевск,54.865114,52.449809,10.337973011773851,600.0,ИЖС,1580000,1899376.1602341891,319376.1602341891,319376.1602341891,20.213681027480323,20.213681027480323
483,Альметьевск,54.92041759329576,52.145147710047084,10.155410737772321,640.0,"СНТ, ДНП",600000,976646.8444917349,376646.84449173487,376646.84449173487,62.77447408195581,62.77447408195581
501,Альметьевск,54.847618,52.067989,15.945746759277716,2000.0,ИЖС,700000,1148804.6789243305,448804.6789243305,448804.6789243305,64.11495413204722,64.11495413204722
352,Альметьевск,54.81071472,51.96215057,23.795298989505586,6000.0,ИЖС,190000,693953.6049572167,503953.60495721665,503953.60495721665,265.2387394511666,265.2387394511666
158,Альметьевск,54.920000686884144,52.259466301431004,3.414567991372198,8000.0,ИЖС,50000000,24244796.05350009,-25755203.94649991,25755203.94649991,51.51040789299982,-51.51040789299982
229,Альметьевск,54.914809,52.331357,2.5941651660160097,1620.0,ИЖС,6500000,10927084.731959438,4427084.731959438,4427084.731959438,68.10899587629905,68.10899587629905
425,Альметьевск,54.87882185549426,52.26857142853814,3.0960710120897743,550.0,"СНТ, ДНП",1320000,1908398.178546907,588398.1785469069,588398.1785469069,44.57561958688689,44.57561958688689
86,Альметьевск,55.013515009245424,52.514793117721524,18.638553811040634,800.0,ИЖС,900000,939735.4293200099,39735.42932000989,39735.42932000989,4.415047702223321,4.415047702223321
77,Альметьевск,54.963026,52.152484,11.744554415631182,1160.0,ИЖС,750000,1360743.4261317956,610743.4261317956,610743.4261317956,81.43245681757276,81.43245681757276
131,Альметьевск,54.87988241586312,52.184580058425595,7.713037372035139,800.0,ИЖС,3000000,3110827.403671244,110827.40367124416,110827.40367124416,3.694246789041472,3.694246789041472
89,Альметьевск,54.87787250295975,52.29308544059208,2.499890105729019,400.0,"СНТ, ДНП",280000,379575.60812491446,99575.60812491446,99575.60812491446,35.56271718746945,35.56271718746945
137,Альметьевск,54.89331055,52.33760834,2.517200523296352,610.0,"СНТ, ДНП",1500000,2076768.5386955487,576768.5386955487,576768.5386955487,38.45123591303658,38.45123591303658
30,Альметьевск,54.870872192621704,52.2917771684717,3.281288497785551,600.0,"СНТ, ДНП",400000,569651.3135577588,169651.3135577588,169651.3135577588,42.4128283894397,42.4128283894397
79,Альметьевск,54.89238931113899,52.4622839151868,10.411483448503612,1500.0,ИЖС,1000000,2087942.403760384,1087942.403760384,1087942.403760384,108.7942403760384,108.7942403760384
75,Альметьевск,54.922483292571904,52.25714706848146,3.708515927558046,600.0,"СНТ, ДНП",1200000,1012680.4257376567,-187319.57426234335,187319.57426234335,15.609964521861947,-15.609964521861947
341,Альметьевск,54.88223814562813,52.20089030347399,6.638826423874547,800.0,ИЖС,3500000,3787248.3636619137,287248.36366191367,287248.36366191367,8.207096104626105,8.207096104626105
9,Альметьевск,54.90511322,52.37187958,4.630558827695237,1000.0,ИЖС,3300000,3626004.9166951156,326004.9166951156,326004.9166951156,9.878936869548959,9.878936869548959
394,Альметьевск,54.90335846,52.37304688,4.685158997218298,600.0,ИЖС,3500000,3009889.9948123624,-490110.00518763764,490110.00518763764,14.003143005361077,-14.003143005361077
208,Альметьевск,54.979645,52.217442,10.307229852597345,1500.0,ИЖС,2600000,4457052.211193948,1857052.211193948,1857052.211193948,71.42508504592108,71.42508504592108
73,Альметьевск,54.964470879222525,52.485895229282775,13.872126939935962,1110.0,"СНТ, ДНП",1100000,1261333.2716165937,161333.2716165937,161333.2716165937,14.666661056053973,14.666661056053973
209,Альметьевск,54.877128,52.267172,3.2979080618510928,720.0,"СНТ, ДНП",2100000,1981849.7402834513,-118150.25971654872,118150.25971654872,5.626202843645178,-5.626202843645178
444,Альметьевск,54.93172073,52.38231659,6.33401505732618,600.0,ИЖС,3850000,3009275.73771628,-840724.2622837201,840724.2622837201,21.836993825551172,-21.836993825551172
432,Альметьевск,54.965825714602175,52.48182754865089,13.729859847421617,1400.0,"СНТ, ДНП",1200000,1396876.4896619357,196876.48966193572,196876.48966193572,16.40637413849464,16.40637413849464
436,Альметьевск,54.81680394512134,52.233468225623014,10.183984410298109,1000.0,ИЖС,1000000,1624261.5128704654,624261.5128704654,624261.5128704654,62.42615128704654,62.42615128704654
78,Альметьевск,54.88641064686006,52.33823194979392,2.8741490858847727,819.9999999999999,"СНТ, ДНП",1000000,2098096.932133191,1098096.9321331908,1098096.9321331908,109.80969321331908,109.80969321331908
70,Альметьевск,54.8922347486179,52.34504247486876,3.0068325867837373,580.0,"СНТ, ДНП",2100000,1569812.4579825895,-530187.5420174105,530187.5420174105,25.24702581035288,-25.24702581035288
