iter	MAE	RMSE
0	3760130.609	5284470.091
1	3647623.179	5165286.641
2	3540071.393	5044420.187
3	3427347.278	4921116.538
4	3324171.946	4805383.932
5	3230784.797	4699795.352
6	3137384.517	4588728.106
7	3071379.328	4496049.105
8	2986748.367	4402037.71
9	2910146.208	4311937.105
10	2834790.921	4226206.537
11	2770893.043	4156859.557
12	2706319.104	4080135.038
13	2648015.03	4011207.441
14	2593272.045	3948223.958
15	2540748.178	3887048.501
16	2486620.571	3824104.47
17	2440456.594	3775769.16
18	2399721.572	3723989.43
19	2357279.463	3671734.948
20	2314347.646	3623575.758
21	2270664.503	3566901.885
22	2237320.966	3528369.796
23	2205014.258	3485166.545
24	2172094.627	3449522.667
25	2141901.12	3415381.47
26	2124515.227	3391239.923
27	2097107.51	3354918.426
28	2070529.589	3316793.048
29	2039218.013	3282428.768
30	2015615.894	3254653.451
31	1991538.698	3226013.433
32	1978547.723	3206497.417
33	1959386.453	3181895.725
34	1938619.206	3158857.412
35	1926351.154	3140062.854
36	1906703.955	3114849.128
37	1892619.352	3091784.958
38	1876953.917	3067911.998
39	1862661.997	3049739.052
40	1846196.474	3033226.926
41	1836471.405	3020987.673
42	1819425.147	3001093.025
43	1808215.023	2982679.104
44	1795504.318	2966046.779
45	1785036.204	2947793.152
46	1774955.468	2934548.708
47	1766061.535	2918952.881
48	1756839.373	2902432.431
49	1748726.977	2891152.04
50	1734842.779	2876521.184
51	1727650.566	2864062.04
52	1717021.77	2845424.167
53	1710873.58	2835084.942
54	1700145.583	2823883.897
55	1693522.203	2815537.427
56	1688610.467	2807585.077
57	1677930.26	2792962.674
58	1666464.963	2776529.281
59	1655253.217	2763779.764
60	1649136.013	2754477.459
61	1642194.418	2748326.15
62	1637577.571	2741208.901
63	1629495.166	2733090.587
64	1624239.855	2725046.986
65	1621709.869	2721436.77
66	1618199.3	2718245.838
67	1612477.423	2709720.336
68	1601378.783	2694933.694
69	1595817.088	2685992.491
70	1592861.018	2680727.829
71	1588731.569	2671195.341
72	1581098.877	2661325.328
73	1575767.536	2651942.298
74	1572509.564	2646807.156
75	1571140.823	2643210.799
76	1561029.914	2633460.178
77	1558557.225	2628344.405
78	1551192.357	2622523.871
79	1543174.047	2615017.004
80	1538900.476	2609524.816
81	1535575.049	2603266.677
82	1528551.89	2592150.442
83	1521495.739	2581710.432
84	1517195.559	2575714.302
85	1515051.21	2568696.13
86	1508653.221	2555300.411
87	1505879.312	2550675.946
88	1504804.961	2548660.101
89	1500281.721	2540213.008
90	1497516.429	2533554.546
91	1495537.371	2527151.343
92	1492468.535	2522560.431
93	1487112.377	2515236.318
94	1478120.481	2499898.3
95	1473111.897	2492319.462
96	1464798.85	2478692.113
97	1459413.957	2471867.652
98	1456540.631	2465525.379
99	1456306.273	2464343.603
100	1450943.253	2456728.472
101	1448879.623	2452583.616
102	1443067.798	2442901.564
103	1440670.986	2435876.2
104	1439601.034	2434331.069
105	1438368.329	2431978.098
106	1433231.429	2426522.355
107	1431070.203	2423414.942
108	1425635.875	2415411.289
109	1423557.995	2411935.35
110	1418288.454	2401531.433
111	1413301.654	2395109.916
112	1408211.582	2386818.659
113	1404049.247	2380318.124
114	1394954.181	2369334.895
115	1391764.359	2365425.641
116	1388299.399	2358787.203
117	1382648.088	2350408.55
118	1380126.068	2344009.899
119	1375210.25	2338704.93
120	1371690.691	2332168.528
121	1364729.346	2321055.247
122	1364695.215	2320759.751
123	1363785.813	2318757.416
124	1363256.525	2317488.262
125	1361687.162	2313845.086
126	1360138.246	2311286.069
127	1359428.248	2309492.241
128	1352365.198	2300773.593
129	1351929.768	2299914.109
130	1349194.476	2294168.901
131	1346014.295	2288825.951
132	1343306.322	2285787.232
133	1342086.613	2281277.251
134	1340506.04	2277462.468
135	1340184.476	2276260.144
136	1339467.678	2274504.298
137	1338638.44	2273220.739
138	1336777.317	2271010.439
139	1331226.673	2263715.577
140	1331188.62	2263468.836
141	1330586.308	2262027.304
142	1327682.412	2254227.646
143	1322966.36	2248043.533
144	1322913.388	2247649.115
145	1322868.161	2247221.565
146	1320268.891	2243599.035
147	1315044.975	2233382.045
148	1313947.069	2231422.24
149	1312545.048	2227685.611
150	1308262.486	2218175.401
151	1307031.644	2216336.078
152	1303580.37	2209700.275
153	1303042.34	2208545.14
154	1301469.013	2205131.722
155	1300828.488	2203952.723
156	1299689.726	2201609.421
157	1299169.265	2200370.73
158	1299144.255	2199808.469
159	1298013.934	2197007.626
160	1295048.084	2191521.669
161	1292461.546	2185854.983
162	1290645.551	2182588.841
163	1287686.757	2174818.098
164	1285900.511	2169150.697
165	1285609.798	2168561.834
166	1285418.518	2167614.23
167	1282174.224	2159203.214
168	1279453.189	2154817.599
169	1278762.676	2153432.008
170	1274799.388	2146240.676
171	1272868.818	2140821.765
172	1272698.339	2140390.368
173	1272501.995	2139427.436
174	1272371.125	2139012.136
175	1270132.237	2134569.188
176	1270002.335	2134155.879
177	1269861.275	2133752.044
178	1268166.852	2129916.231
179	1263934.91	2123613.285
180	1262485.495	2120347.961
181	1261782.279	2118925.39
182	1261655.194	2118546.322
183	1261273.047	2117731.81
184	1258109.935	2112620.797
185	1257769.631	2111888.556
186	1254005.86	2103492.803
187	1252165.925	2098123.7
188	1245279.65	2089938.403
189	1245098.277	2089492.679
190	1244517.576	2088330.485
191	1243761.025	2086366.76
192	1242268.831	2080896.989
193	1242057.332	2080433.386
194	1241600.067	2079638.396
195	1241436.241	2079241.705
196	1239226.782	2073880.499
197	1239044.455	2073462.699
198	1238096.41	2072046.837
199	1237973.64	2071637.811
200	1234459.422	2064699.188
201	1234309.376	2064327.43
202	1231125.284	2061555.449
203	1226542.954	2055068.225
204	1225862.027	2053788.831
205	1225135.525	2051502.115
206	1223312.268	2048941.831
207	1220487.653	2043415.372
208	1216718.532	2035219.522
209	1214253.246	2032927.641
210	1214034.615	2032472.909
211	1212118.045	2029042.469
212	1208180.506	2021743.89
