iter	Passed	Remaining
0	163	245011
1	179	134740
2	205	102482
3	221	82836
4	240	71809
5	254	63307
6	269	57442
7	286	53426
8	300	49860
9	317	47377
10	332	44988
11	347	43057
12	360	41284
13	374	39725
14	390	38613
15	404	37562
16	417	36408
17	437	35998
18	456	35571
19	471	34877
20	483	34054
21	496	33348
22	511	32849
23	526	32353
24	540	31862
25	554	31453
26	560	30603
27	572	30100
28	585	29704
29	601	29486
30	616	29192
31	628	28842
32	637	28348
33	652	28115
34	666	27877
35	676	27516
36	691	27337
37	705	27136
38	718	26904
39	730	26675
40	747	26607
41	760	26399
42	775	26270
43	787	26068
44	811	26242
45	826	26120
46	839	25956
47	857	25925
48	873	25852
49	886	25706
50	898	25536
51	911	25370
52	925	25265
53	939	25147
54	951	24989
55	964	24881
56	985	24947
57	998	24834
58	1013	24750
59	1026	24646
60	1040	24535
61	1052	24421
62	1067	24359
63	1083	24304
64	1100	24304
65	1111	24139
66	1124	24049
67	1136	23943
68	1150	23850
69	1164	23788
70	1172	23595
71	1185	23509
72	1198	23423
73	1210	23329
74	1217	23136
75	1221	22884
76	1232	22778
77	1246	22717
78	1259	22656
79	1271	22577
80	1284	22494
81	1311	22671
82	1333	22765
83	1351	22785
84	1368	22787
85	1387	22806
86	1405	22833
87	1438	23073
88	1454	23052
89	1478	23160
90	1501	23248
91	1518	23232
92	1536	23244
93	1550	23189
94	1563	23128
95	1579	23102
96	1609	23280
97	1626	23266
98	1644	23266
99	1650	23108
100	1664	23050
101	1679	23023
102	1696	23014
103	1711	22980
104	1719	22846
105	1783	23455
106	1801	23448
107	1817	23423
108	1834	23406
109	1847	23351
110	1863	23314
111	1884	23349
112	1901	23341
113	1916	23300
114	1933	23280
115	1947	23234
116	1960	23172
117	1974	23123
118	1989	23089
119	2004	23046
120	2019	23013
121	2032	22962
122	2038	22822
123	2054	22795
124	2077	22851
125	2091	22810
126	2107	22783
127	2123	22763
128	2140	22752
129	2158	22751
130	2175	22730
131	2190	22702
132	2210	22719
133	2229	22730
134	2244	22695
135	2254	22607
136	2261	22496
137	2266	22366
138	2279	22317
139	2295	22301
140	2299	22167
141	2314	22134
142	2330	22118
143	2345	22089
144	2354	21997
145	2367	21960
146	2391	22015
147	2411	22032
148	2435	22082
149	2459	22135
150	2485	22200
151	2516	22314
152	2532	22294
153	2546	22258
154	2559	22207
155	2575	22190
156	2591	22167
157	2607	22146
158	2621	22111
159	2642	22127
160	2659	22118
161	2685	22176
162	2701	22162
163	2718	22146
164	2737	22147
165	2753	22128
166	2771	22118
167	2786	22093
168	2807	22114
169	2825	22107
170	2841	22082
171	2853	22032
172	2865	21980
173	2879	21946
174	2885	21848
175	2899	21808
176	2906	21722
177	2915	21654
178	2927	21607
179	2940	21560
180	2954	21530
181	2968	21498
182	2976	21420
183	2987	21369
184	3003	21347
185	3018	21322
186	3031	21285
187	3047	21266
188	3062	21245
189	3069	21164
190	3080	21114
191	3093	21077
192	3105	21033
193	3115	20972
194	3126	20922
195	3132	20843
196	3144	20797
197	3154	20740
198	3168	20715
199	3179	20669
200	3205	20715
201	3215	20660
202	3228	20630
203	3243	20605
204	3256	20572
205	3272	20555
206	3285	20524
207	3300	20504
208	3313	20467
209	3330	20460
210	3345	20434
211	3358	20404
212	3372	20380
213	3385	20341
214	3399	20318
215	3417	20317
216	3441	20347
217	3465	20381
218	3483	20378
219	3496	20345
220	3511	20324
221	3524	20290
222	3538	20261
223	3550	20225
224	3562	20185
225	3574	20149
226	3587	20117
227	3616	20174
228	3635	20177
229	3648	20146
230	3675	20192
231	3687	20155
232	3701	20125
233	3712	20087
234	3722	20037
235	3734	20003
236	3748	19974
237	3763	19955
238	3777	19929
239	3790	19897
240	3802	19863
241	3816	19838
242	3830	19815
243	3843	19786
244	3857	19758
245	3870	19728
246	3885	19712
247	3902	19700
248	3916	19676
249	3929	19647
250	3942	19620
251	3957	19596
252	3969	19565
253	3981	19532
254	3993	19497
255	4005	19463
256	4018	19437
257	4030	19404
258	4044	19378
259	4056	19344
260	4068	19311
261	4079	19277
262	4092	19250
263	4107	19232
264	4119	19200
265	4132	19170
266	4144	19140
267	4157	19111
268	4169	19081
269	4181	19049
270	4194	19020
271	4206	18992
272	4221	18974
273	4233	18943
274	4247	18919
275	4258	18887
276	4272	18864
277	4290	18857
278	4305	18844
279	4319	18819
280	4332	18792
281	4343	18762
282	4357	18738
283	4370	18713
284	4384	18690
285	4398	18671
286	4422	18690
287	4445	18708
288	4468	18723
289	4486	18720
290	4500	18699
291	4512	18668
292	4524	18638
293	4536	18609
294	4549	18584
295	4561	18555
296	4573	18525
297	4587	18503
298	4603	18490
299	4616	18464
300	4628	18437
301	4644	18425
302	4658	18402
303	4673	18384
304	4685	18358
305	4699	18338
306	4712	18313
307	4730	18306
308	4744	18287
309	4759	18269
310	4774	18255
311	4789	18237
312	4805	18222
313	4819	18202
314	4835	18190
315	4847	18163
316	4861	18141
317	4879	18137
318	4893	18114
319	4904	18087
320	4919	18069
321	4931	18040
322	4944	18017
323	4955	17987
324	4967	17959
325	4979	17932
326	4996	17923
327	5009	17899
328	5024	17885
329	5037	17858
